attribute,value
Size,"0.67oz, 20ml"
Size,"12 x 0.05oz, 12 x 1.3 g"
Size,"0.28oz, 8g"
Size,"0.295oz, 8.5g"
Size,"2.3oz, 75ml"
Size,"10.1oz, 300ml"
Size,"8 x 0.05oz, 8 x 1.5g"
Size,"4.7oz, 125ml"
Size,"2 x 100g, with 1 tray"
Size,"2.7oz, 80ml"
Size,"3.72oz, 110ml"
Size,"0.12oz, 3.4g"
Size,"0.17 + 0.176 x 5oz, 4.7 + 5 x 5g"
Size,"0.23oz, 7ml"
Size,"1set , 4pcs"
Size,"0.13oz, 3.8g"
Size,4 x 37 + 4 x 5.5 g
Size,"4.9oz, 144ml"
Size,"0.4oz, 14g"
Size,"1.1oz, 30ml"
Size,"7.5g,"
Size,"5.6g,"
Size,"3.4oz, 97g"
Size,"0.16oz, 4.7ml"
Size,"4.1oz, 120ml"
Size,"10oz, 300ml"
Size,"4.7oz, 140ml"
Size,"1oz, 30g"
Size,0.42 oz  (Refill)
Size,0.04 oz 1.2 ml
Size,0.24 oz 7.3 ml
Size,8 oz 227 g
Size,0.12 oz 3.4 g
Size,0.3 oz 9 g
Size,0.18 oz 5.2 g
Size,13.52 oz 400 ml
Size,1.75 oz 50 ml
Size,1.35 oz 40 ml
Size,0.23 oz 6.5 g
Size,4 oz 125 ml
Size,4.2 oz 120 g
Size,0.12 oz 3.5 g
Size,0.05 oz 1.6 g
Size,0.6 oz 20 ml
Size,4 oz 118 ml
Size,0.3 oz 9 ml
Size,4.1 oz 120 ml
Size,0.28 oz 8 g
Size,4 x 0.5 oz 4 x 15 ml
Size,0.68 oz 20 ml
Size,1.3 oz 40 ml
Size,0.01 oz 0.33 g
Size,0.09 oz 2.5 g
Size,45 ml
Size,0.08 oz 2.2 g
Size,0.03 oz 1 ml
Size,5 ml
Size,1.05 oz 30 g
Size,0.2 oz 6 ml
Size,0.07 oz 2 ml
Size,0.11 oz 3.3 g
Size,0.31 oz 9 g
Size,4 vials 0.29 oz 4 vials 8.5 ml
Size,0.14 oz 4.2 g
Size,0.05 oz 1.64 g
Size,85 ml
Size,0.05 oz 1.5 g
Size,0.22 oz 6 ml
Size,6.5 oz 190 g
Size,180 ml
Size,0.71 oz 20 g
Size,2 x 0.04 + 0.05 oz 2 x 1.4 + 1.6 g
Size,2 oz 56.7 g
Size,28 packets 0.5g
Size,7.8 oz 230 ml
Size,6.6 oz 195 ml
Size,7 oz 200 ml
Size,0.22 oz 6.5 ml
Size,0.3 oz 11 g
Size,0.75 oz 22 ml
Size,0.35 oz 10 g
Size,6 oz 160 ml
Size,0.16 oz 4.8 g
Size,4.56 oz 135 ml
Size,0.16 oz 5 ml
Size,7.6 oz 227 ml
Size,3.3 oz 100 ml
Size,3.8 g 0.13 oz
Size,0.51 oz 14 g
Size,2 x 12
Size,1 box 4 pairs
Size,80 ml
Size,4.2 oz 130 ml
Size,3.5 g 0.12 oz
Size,1.33 oz 40 ml
Size,8.45 oz 250 ml
Size,0.11 oz 3.1 g
